Year,Type,"in 1,000 60 kilogram bags"
2005,Robusta,"47,009"
2006,Robusta,"49,903"
2007,Robusta,"49,580"
2008,Robusta,"51,087"
2009,Robusta,"51,990"
2010,Robusta,"53,316"
2011,Robusta,"60,625"
2012,Robusta,"65,146"
2013,Robusta,"67,589"
2014,Robusta,"67,208"
2015,Robusta,"66,599"
2016,Robusta,"59,943"
2017,Robusta,"64,590"
2018,Robusta,"70,980"
2019,Robusta,"74,079"
2020,Robusta,"73,717"
2021,Robusta,"77,105"
2005,Arabica,"70,484"
2006,Arabica,"83,694"
2007,Arabica,"74,375"
2008,Arabica,"85,109"
2009,Arabica,"76,611"
2010,Arabica,"87,101"
2011,Arabica,"84,497"
2012,Arabica,"92,872"
2013,Arabica,"92,465"
2014,Arabica,"86,608"
2015,Arabica,"86,340"
2016,Arabica,"101,036"
2017,Arabica,"95,224"
2018,Arabica,"105,644"
2019,Arabica,"95,237"
2020,Arabica,"102,094"
2021,Arabica,"87,734"
