date, value
20-Aug-1973,0.6735
21-Aug-1973,0.671
22-Aug-1973,0.658
23-Aug-1973,0.6675
24-Aug-1973,0.666
27-Aug-1973,0.659
28-Aug-1973,0.64
29-Aug-1973,0.6345
30-Aug-1973,0.6387
31-Aug-1973,0.6402
4-Sep-1973,0.6432
5-Sep-1973,0.637
6-Sep-1973,0.636
7-Sep-1973,0.638
10-Sep-1973,0.6335
11-Sep-1973,0.6302
12-Sep-1973,0.6365
13-Sep-1973,0.645
14-Sep-1973,0.6645
17-Sep-1973,0.6575
18-Sep-1973,0.6562
19-Sep-1973,0.6515
20-Sep-1973,0.648
21-Sep-1973,0.6465
24-Sep-1973,0.657
25-Sep-1973,0.673
26-Sep-1973,0.684
27-Sep-1973,0.6855
28-Sep-1973,0.6782
1-Oct-1973,0.68
2-Oct-1973,0.6847
3-Oct-1973,0.6845
4-Oct-1973,0.6812
5-Oct-1973,0.6822
9-Oct-1973,0.677
10-Oct-1973,0.6795
11-Oct-1973,0.6702
12-Oct-1973,0.6507
15-Oct-1973,0.6415
16-Oct-1973,0.6433
17-Oct-1973,0.642
18-Oct-1973,0.6493
19-Oct-1973,0.652
23-Oct-1973,0.652
24-Oct-1973,0.6453
25-Oct-1973,0.6483
26-Oct-1973,0.6478
29-Oct-1973,0.6438
30-Oct-1973,0.6448
31-Oct-1973,0.6505
1-Nov-1973,0.6544
2-Nov-1973,0.6475
5-Nov-1973,0.652
7-Nov-1973,0.655
8-Nov-1973,0.657
9-Nov-1973,0.657
12-Nov-1973,0.661
13-Nov-1973,0.657
14-Nov-1973,0.6413
15-Nov-1973,0.6445
16-Nov-1973,0.647
19-Nov-1973,0.6503
20-Nov-1973,0.64
21-Nov-1973,0.6381
23-Nov-1973,0.641
26-Nov-1973,0.6275
27-Nov-1973,0.628
28-Nov-1973,0.6344
29-Nov-1973,0.6498
30-Nov-1973,0.6534
3-Dec-1973,0.6618
4-Dec-1973,0.6645
5-Dec-1973,0.6655
6-Dec-1973,0.664
7-Dec-1973,0.6718
10-Dec-1973,0.685
11-Dec-1973,0.6735
12-Dec-1973,0.6739
13-Dec-1973,0.6698
14-Dec-1973,0.667
17-Dec-1973,0.6688
18-Dec-1973,0.6693
19-Dec-1973,0.672
20-Dec-1973,0.6728
21-Dec-1973,0.6733
26-Dec-1973,0.6763
27-Dec-1973,0.674
28-Dec-1973,0.6705
31-Dec-1973,0.674
2-Jan-1974,0.689
3-Jan-1974,0.688
4-Jan-1974,0.684
7-Jan-1974,0.6978
8-Jan-1974,0.692
9-Jan-1974,0.6903
10-Jan-1974,0.6958
