year,type,in kg
2012,Instant Coffee,0.19
2012,Roast Coffee,0.71
2012,Total,0.89
2013,Instant Coffee,0.19
2013,Roast Coffee,0.72
2013,Total,0.91
2014,Instant Coffee,0.19
2014,Roast Coffee,0.73
2014,Total,0.92
2015,Instant Coffee,0.2
2015,Roast Coffee,0.73
2015,Total,0.93
2016,Instant Coffee,0.2
2016,Roast Coffee,0.74
2016,Total,0.94
2017,Instant Coffee,0.2
2017,Roast Coffee,0.75
2017,Total,0.95
2018,Instant Coffee,0.21
2018,Roast Coffee,0.75
2018,Total,0.96
2019,Instant Coffee,0.21
2019,Roast Coffee,0.76
2019,Total,0.97
2020,Instant Coffee,0.2
2020,Roast Coffee,0.72
2020,Total,0.92
2021,Instant Coffee,0.21
2021,Roast Coffee,0.75
2021,Total,0.96
