date,value
Jan 1 2000,1.165
Jan 1 2001,0.634
Jan 1 2002,0.4735
Jan 1 2003,0.6165
Jan 1 2004,0.686
Jan 1 2005,1.031
Jan 1 2006,1.086
Jan 1 2007,1.236
Jan 1 2008,1.34
Jan 1 2009,1.109
Jan 1 2010,1.4185
Jan 1 2011,2.3495
Jan 1 2012,2.272
Jan 1 2013,1.494
Jan 1 2014,1.114
Jan 1 2015,1.6105
Jan 1 2016,1.239
Jan 1 2017,1.374
Jan 1 2018,1.302
Jan 1 2019,0.995
Jan 1 2020,1.271
Jan 1 2021,1.2615
Feb 1 2000,1.1165
Feb 1 2001,0.647
Feb 1 2002,0.4735
Feb 1 2003,0.6615
Feb 1 2004,0.7495
Feb 1 2005,1.058
Feb 1 2006,1.1725
Feb 1 2007,1.1875
Feb 1 2008,1.391
Feb 1 2009,1.1975
Feb 1 2010,1.3255
Feb 1 2011,2.494
Feb 1 2012,2.141
Feb 1 2013,1.4795
Feb 1 2014,1.3595
Feb 1 2015,1.6245
Feb 1 2016,1.1775
Feb 1 2017,1.5015
Feb 1 2018,1.214
Feb 1 2019,1.037
Feb 1 2020,0.979
Feb 1 2021,1.2535
Mar 1 2000,1.019
Mar 1 2001,0.648
Mar 1 2002,0.4735
Mar 1 2003,0.5995
Mar 1 2004,0.76
Mar 1 2005,1.2145
Mar 1 2006,1.1405
Mar 1 2007,1.166
Mar 1 2008,1.6755
Mar 1 2009,1.057
Mar 1 2010,1.3175
Mar 1 2011,2.693
Mar 1 2012,2.041
Mar 1 2013,1.4335
Mar 1 2014,1.9345
Mar 1 2015,1.3835
Mar 1 2016,1.1475
Mar 1 2017,1.448
Mar 1 2018,1.2395
Mar 1 2019,1.002
Mar 1 2020,1.156
Mar 1 2021,1.358
Apr 1 2000,1.021
Apr 1 2001,0.595
Apr 1 2002,0.585
Apr 1 2003,0.583
Apr 1 2004,0.741
Apr 1 2005,1.2395
Apr 1 2006,1.0945
Apr 1 2007,1.086
Apr 1 2008,1.291
Apr 1 2009,1.145
Apr 1 2010,1.374
Apr 1 2011,2.599
Apr 1 2012,1.862
Apr 1 2013,1.384
Apr 1 2014,1.7525
Apr 1 2015,1.3485
Apr 1 2016,1.228
Apr 1 2017,1.3785
Apr 1 2018,1.164
Apr 1 2019,0.921
Apr 1 2020,1.16
Apr 1 2021,1.216
May 1 2000,1.0355
May 1 2001,0.6715
May 1 2002,0.509
May 1 2003,0.6915
May 1 2004,0.6975
May 1 2005,1.2355
May 1 2006,1.096
May 1 2007,1.0485
May 1 2008,1.2925
May 1 2009,1.204
May 1 2010,1.3855
May 1 2011,3.051
May 1 2012,1.8415
May 1 2013,1.347
May 1 2014,2.0415
May 1 2015,1.342
May 1 2016,1.1965
May 1 2017,1.3585
May 1 2018,1.248
May 1 2019,0.911
May 1 2020,1.061
May 1 2021,1.4025
Jun 1 2000,0.9445
Jun 1 2001,0.579
Jun 1 2002,0.512
Jun 1 2003,0.6
Jun 1 2004,0.829
Jun 1 2005,1.1805
Jun 1 2006,0.9995
Jun 1 2007,1.174
Jun 1 2008,1.3735
Jun 1 2009,1.4225
Jun 1 2010,1.3655
Jun 1 2011,2.5595
Jun 1 2012,1.575
Jun 1 2013,1.29
Jun 1 2014,1.7235
Jun 1 2015,1.298
Jun 1 2016,1.219
Jun 1 2017,1.277
Jun 1 2018,1.2275
Jun 1 2019,1.046
Jun 1 2020,0.983
Jun 1 2021,1.6105
Jul 1 2000,0.881
Jul 1 2001,0.569
Jul 1 2002,0.5005
Jul 1 2003,0.61
Jul 1 2004,0.749
Jul 1 2005,1.053
Jul 1 2006,1.035
Jul 1 2007,1.12
Jul 1 2008,1.5535
Jul 1 2009,1.1905
Jul 1 2010,1.6825
Jul 1 2011,2.6365
Jul 1 2012,1.746
Jul 1 2013,1.216
Jul 1 2014,1.7095
Jul 1 2015,1.27
Jul 1 2016,1.464
Jul 1 2017,1.277
Jul 1 2018,1.1165
Jul 1 2019,1.1135
Jul 1 2020,1.04
Jul 1 2021,1.564
Aug 1 2000,0.863
Aug 1 2001,0.5125
Aug 1 2002,0.475
Aug 1 2003,0.6505
Aug 1 2004,0.6645
Aug 1 2005,1.0215
Aug 1 2006,0.983
Aug 1 2007,1.131
Aug 1 2008,1.4015
Aug 1 2009,1.3305
Aug 1 2010,1.725
Aug 1 2011,2.4135
Aug 1 2012,1.746
Aug 1 2013,1.156
Aug 1 2014,1.9235
Aug 1 2015,1.2395
Aug 1 2016,1.4345
Aug 1 2017,1.3785
Aug 1 2018,1.0805
Aug 1 2019,0.9725
Aug 1 2020,1.179
Aug 1 2021,1.728
Sep 1 2000,0.8035
Sep 1 2001,0.5105
Sep 1 2002,0.5585
Sep 1 2003,0.637
Sep 1 2004,0.7395
Sep 1 2005,1.0495
Sep 1 2006,1.076
Sep 1 2007,1.1795
Sep 1 2008,1.4445
Sep 1 2009,1.201
Sep 1 2010,1.8235
Sep 1 2011,2.8975
Sep 1 2012,1.653
Sep 1 2013,1.172
Sep 1 2014,2.0945
Sep 1 2015,1.208
Sep 1 2016,1.514
Sep 1 2017,1.2905
Sep 1 2018,1.0145
Sep 1 2019,0.9685
Sep 1 2020,1.2885
Sep 1 2021,1.9565
Oct 1 2000,0.7935
Oct 1 2001,0.474
Oct 1 2002,0.5655
Oct 1 2003,0.6515
Oct 1 2004,0.8015
Oct 1 2005,0.9285
Oct 1 2006,1.0355
Oct 1 2007,1.3485
Oct 1 2008,1.291
Oct 1 2009,1.267
Oct 1 2010,1.811
Oct 1 2011,2.2345
Oct 1 2012,1.7805
Oct 1 2013,1.141
Oct 1 2014,2.004
Oct 1 2015,1.2075
Oct 1 2016,1.4755
Oct 1 2017,1.272
Oct 1 2018,1.022
Oct 1 2019,1.0135
Oct 1 2020,1.0705
Oct 1 2021,2.0405
Nov 1 2000,0.739
Nov 1 2001,0.452
Nov 1 2002,0.64
Nov 1 2003,0.5865
Nov 1 2004,0.742
Nov 1 2005,0.971
Nov 1 2006,1.0865
Nov 1 2007,1.226
Nov 1 2008,1.1235
Nov 1 2009,1.4235
Nov 1 2010,1.977
Nov 1 2011,2.2365
Nov 1 2012,1.5345
Nov 1 2013,1.0555
Nov 1 2014,1.8585
Nov 1 2015,1.188
Nov 1 2016,1.6145
Nov 1 2017,1.2295
Nov 1 2018,1.178
Nov 1 2019,1.04
Nov 1 2020,1.028
Nov 1 2021,2.087
Dec 1 2000,0.7165
Dec 1 2001,0.461
Dec 1 2002,0.7285
Dec 1 2003,0.624
Dec 1 2004,0.986
Dec 1 2005,0.9645
Dec 1 2006,1.276
Dec 1 2007,1.2995
Dec 1 2008,1.1355
Dec 1 2009,1.427
Dec 1 2010,2.3495
Dec 1 2011,2.357
Dec 1 2012,1.507
Dec 1 2013,1.099
Dec 1 2014,1.904
Dec 1 2015,1.199
Dec 1 2016,1.449
Dec 1 2017,1.2955
Dec 1 2018,1.078
Dec 1 2019,1.22
Dec 1 2020,1.1845
Dec 1 2021,2.326
